common_name,scientific_name,category,parts_used,medicinal_properties,common_uses,precautions,description
Alfalfa,Medicago sativa,Legume,"Leaves, Seeds, Sprouts","Nutritive, Remineralizing, Estrogen-like, Cholesterol lowering","Nutritional deficiency, High cholesterol, Menopausal symptoms, Alkalizing","May cause lupus flares. Has mild estrogenic activity. Seeds contain toxic compounds.",Nutrient-dense fodder plant for remineralization.
Aloe Vera,Aloe barbadensis,Succulent,"Gel, Latex","Anti-inflammatory, Wound healing, Moisturizing, Laxative","Burns, Skin care, Digestive issues, Wound healing","Latex can cause cramping. Avoid during pregnancy.",Succulent plant with cooling gel used extensively for skin and digestive health.
Arnica,Arnica montana,Herb,Flowers,"Anti-inflammatory, Analgesic, Wound healing","Bruises, Muscle pain, Sprains, Inflammation","ONLY FOR EXTERNAL USE OR HOMEOPATHIC. Toxic if ingested.",Yellow flower for topical pain and bruise relief.
Ashwagandha,Withania somnifera,Shrub,"Roots, Berries","Adaptogenic, Anti-stress, Immunomodulatory, Neuroprotective","Stress reduction, Anxiety, Energy boost, Cognitive function","Not for use during pregnancy. May interact with thyroid medications.","Powerful adaptogen known as ""Indian Ginseng"" for stress and vitality."
Astragalus,Astragalus membranaceus,Root,Root,"Immunomodulatory, Adaptogenic, Cardioprotective, Antiviral","Immune support, Fatigue, Heart health, Kidney health","May interact with immunosuppressants. Use cautiously in autoimmune conditions.",Chinese root for immune strength and vitality.
Barberry,Berberis vulgaris,Shrub,"Root, Bark, Berries","Antimicrobial, Hepatic, Digestive bitter, Anti-inflammatory","Infections, Liver support, Digestive issues, Skin conditions","Not for use during pregnancy. Contains berberine like goldenseal.",Yellow-rooted shrub with antimicrobial berberine.
Bilberry,Vaccinium myrtillus,Shrub,Fruit,"Antioxidant, Vision support, Circulatory, Anti-inflammatory","Eye health, Night vision, Circulation, Diabetes","Generally safe. May interact with blood thinners.",European blueberry for vision and circulatory health.
Black Cohosh,Actaea racemosa,Herb,"Root, Rhizome","Phytoestrogenic, Anti-inflammatory, Sedative","Menopausal symptoms, Menstrual cramps, Sleep issues","Not for use during pregnancy. Rare liver concerns.",Native American herb for womens hormonal health.
Black Pepper,Piper nigrum,Vine,"Fruit, Seeds","Digestive aid, Bioavailability enhancer, Antimicrobial, Antioxidant","Digestive issues, Nutrient absorption, Respiratory congestion","Generally safe in culinary amounts. May interact with some medications.",Common spice that enhances absorption of other nutrients.
Blessed Thistle,Cnicus benedictus,Herb,"Leaves, Flowering tops","Digestive bitter, Galactagogue, Antimicrobial, Diaphoretic","Digestive issues, Lactation support, Fever, Appetite stimulation","Not for use during pregnancy. May cause allergic reactions in some.",Traditional European bitter herb for digestion and nursing support.
Blue Cohosh,Caulophyllum thalictroides,Herb,"Root, Rhizome","Uterine tonic, Antispasmodic, Anti-inflammatory","Labor induction, Menstrual regulation, Rheumatism","RESTRICTED. Not for use during most of pregnancy. Toxic in large doses.",Powerful Native American herb for labor and menstrual issues.
